word	lemma
belief	7594
believe	35364
belittle	112
belive	5
belizean	7
bell	4598
belladonna	57
bellboy	9
belle	399
belleek	14
bellflower	3
bellhop	6
bellicose	58
belligerent	242
bellman	23
bellow	580
bellwether	6
belly	1098
bellybutton	36
belong	6539
beloved	772
below	14209
belt	2953
belter	15
beltway	7
bemoan	120
bemuse	333
bench	2905
benchmark	274
benchmarking	48
bend	4772
bender	69
bene	27
beneath	4779
benediction	58
benefactor	261
benefice	88
beneficent	79
beneficial	1460
beneficiary	946
benefit	19744
benevolent	487
benighted	57
benign	531
benison	9
benne	5
bennis	10
benomyl	4
benthos	28
bento	9
bentonite	7
benumb	12
benzedrine	3
benzene	127
benzine	7
benzoate	2
benzodiazepine	42
benzoic	4
benzoin	5
benzol	3
benzoyl	6
benzyl	5
bequeath	237
bequest	284
berate	93
berber	47
berberis	19
berceuse	9
bereave	659
bereft	182
beret	204
bergamot	32
beribboned	6
beringed	9
berm	5
berry	829
berserk	127
berth	380
beryllium	26
beseech	75
beseige	37
beset	303
beside	7847
besiege	356
besmirch	19
besom	13
besotted	106
bespatter	15
bespeak	93
bespectacled	83
best	36106
bestial	70
bestiary	27
bestir	11
bestow	440
bestride	18
bet	3466
beta	788
betake	10
betel	27
bethought	8
betide	59
betime	6
betoken	38
betony	3
betray	1866
betrothed	136
betta	6
better	35361
between	90806
betwixt	30
bevel	85
beverage	229
bevvy	49
bewail	24
beware	559
bewhiskered	8
bewigged	5
bewilder	1041
bewitch	155
beyond	11375
bezel	9
bezique	6
bhaji	3
bi	344
biannual	27
bias	2275
biathlon	4
bib	113
bibelot	4
bible	2828
bibliography	831
bibliophile	23
bibulous	7
bicameral	115
bicarb	6
bicarbonate	239
bicep	82
bicker	303
bicuspid	1
bicycle	1178
